insurgent activity in the country of cortina continued to increase,0
insurgent operations in the country's mountain regions have brought large rural areas under enemy control thereby isolating cortinian military units in the urban areas ,0
terrorist activities in the urban centers have disrupted communications causing significant problems in commerce government and transportation,0
intelligence sources confirm that the one hundred forty forth airborne rifle brigade an element of the people's revolutionary armed forces of atlantica PRAFA recently entered cortina by ground infiltration ,0
atlantica is cortina's communist neighbor ,0
this brigade's suspected mission is to conduct reconnaissance and small unit operations in the fort smith area,0
the insurgency continued to escalate,0
the inability of cortinian security forces to seal their political border with atlantica and protect their coastline has made massive quantities of arms available to the people's national revolutionary movement PNRM an insurgent terrorist group active in cortina,0
the external threat posed by an increasingly well armed PNRM force has heightened US and cortinian officials' concern ,0
north korea's providing several new weapon systems in recent months has Increased the combat power of the PRAFA forces further destabilizing the island's political situation,0
twenty first ID L attacks twenty three twenty one hundred APR nine X to seize OBJs lee,0
bragg polk pickett and hood NLT twenty four zero five three zero APR nine X to destroy the continuity of the enemy's defense and facilitate passage of three hundreds and thirteenth US sep mech BDE through zone,0
the intent of this operation is to seize the initiative exploiting the enemy's inability to sustain offensive operations by attacking to seize critical terrain along PL TAN to assist the passage of three hundreds and thirteenth US sep mech BDE in support of the JTF counteroffenslve ,0
success is defined as the unimpeded passage of the three hundreds and thirteenth sep mech BDE and the Division in position to continue the attack,0
first brigade twenty one IDL attacks twenty three twenty one hundred APR nine X to seize OBJs polk pickett and hood NLT twenty four zero five three zero APR nine X to destroy the continuity of the enemy's defense and facilitate passage of the three hundreds and thirteenththree hundreds and thirteenth sep mech BDE through zone,0
purpose to destroy or capture enemy forces in zone secure key terrain in zone and deny the enemy freedom of maneuver and or the ability to influence the counterattacking forces as they move through the twod CUS brigade's zone to our north and twod C brigade's zone to our south,0
we will first destroy the enemy regimental command post to hinder command and control then attack his two main defensive positions which control the key terrain in zone and use the attack helicopter support to destroy the enemy counter farces before they can reinforce the enemy defense,0
the enemy vicinity OBJs polk and hood including observation posts will either be destroyed or captured and the enemy will be unable to maneuver in zone without being engaged by direct fire weapons from either ground or air ,0
key terrain vicinity OBJs polk hood and the high ground vicinity backbone narrows will be occupied by a minimum of two infantry companies,0
